MEMBER_FIRST_NAMES,MEMBER_SURNAME,EMAIL_ADDRESS,AIA_VITALITY_MEMBER_NUMBER,ENTITY_REFERENCE_NUMBER,CLIENT_ID,LANGUAGE_PREFERENCE
JOE SOAP,BLOGGS,joe_bloggs@testemail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first,sur,first.sur@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first,sur,first.sur@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first,sur,first.sur@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first1,sur1,first1.sur1@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first1,sur1,first1.sur1@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first2,sur2,first2.sur2@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first2,sur2,first2.sur2@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first2,sur2,first2.sur2@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
first2,sur2,first2.sur2@gmail.com,V180000111_20140930,5500001111,V180000111,yue_HK
